feature,category
XP_023132095.1,pigmentation
XP_023141217.1,pigmentation
XP_023132191.1,pigmentation
XP_023137043.1,pigmentation
XP_023149337.1,pigmentation
XP_035806324.1,pigmentation
XP_035806325.1,pigmentation
XP_035812766.1,pigmentation
XP_023145137.1,pigmentation
XP_035801344.2,pigmentation
XP_023124217.1,pigmentation
XP_054861912.1,pigmentation
XP_054861913.1,pigmentation
XP_023121433.2,pigmentation
XP_035806957.1,pigmentation
XP_035806964.1,pigmentation
XP_023127445.1,pigmentation
XP_054872884.1,pigmentation
XP_054870839.1,pigmentation
XP_054870840.1,pigmentation
XP_023129746.1,pigmentation
XP_023153991.1,pigmentation
XP_035806882.1,pigmentation
XP_054874769.1,pigmentation
XP_023125187.1,pigmentation
XP_023136298.1,pigmentation
XP_023153638.2,pigmentation
XP_023153639.2,pigmentation
XP_023143762.1,pigmentation
XP_023155355.2,pigmentation
XP_054868353.1,pigmentation
XP_054873769.1,pigmentation
XP_054865258.1,pigmentation
XP_023140524.2,pigmentation
XP_035810736.1,pigmentation
XP_035813674.2,pigmentation
XP_023147254.2,pigmentation
XP_023134830.2,pigmentation
XP_023134832.2,pigmentation
XP_023135757.1,pigmentation
XP_023122831.2,pigmentation
XP_054872645.1,pigmentation
XP_054872646.1,pigmentation
XP_023146848.1,pigmentation
XP_023127373.1,pigmentation
XP_023133693.1,pigmentation
XP_023133694.1,pigmentation
XP_023140229.1,pigmentation
XP_035811517.2,pigmentation
XP_023144490.1,pigmentation
XP_023144491.1,pigmentation
XP_023142462.1,pigmentation
XP_023155637.1,pigmentation
XP_023155638.1,pigmentation
XP_023120311.3,pigmentation
XP_023120312.3,pigmentation
XP_023144314.1,pigmentation
XP_023144315.1,pigmentation
XP_035808736.1,pigmentation
XP_035803874.2,pigmentation
XP_023125652.2,pigmentation
XP_054874236.1,pigmentation
XP_054874237.1,pigmentation
XP_035802534.2,pigmentation
XP_023152952.1,pigmentation
XP_023128109.2,pigmentation
XP_023153958.2,pigmentation
XP_023137211.2,pigmentation
XP_054861895.1,pigmentation
XP_023152356.1,pigmentation
XP_023143231.1,pigmentation
XP_023131076.1,pigmentation
XP_023121727.1,pigmentation
XP_023121728.1,pigmentation
XP_054865958.1,pigmentation
XP_054865959.1,pigmentation
XP_054864982.1,pigmentation
XP_054864983.1,pigmentation
XP_023117280.1,pigmentation
XP_023117288.1,pigmentation
XP_023117659.1,pigmentation
XP_023117660.1,pigmentation
XP_023136274.2,pigmentation
XP_023136275.2,pigmentation
XP_023125570.1,pigmentation
XP_023124543.1,pigmentation
XP_023124545.1,pigmentation
XP_035812305.2,pigmentation
XP_023154628.1,pigmentation
XP_023154629.1,pigmentation
XP_023133605.2,pigmentation
XP_023133606.2,pigmentation
XP_023154741.1,pigmentation
XP_054874385.1,pigmentation
XP_023122144.3,pigmentation
XP_035800656.2,pigmentation
XP_023118612.2,pigmentation
XP_023132178.1,pigmentation
XP_023134221.1,pigmentation
XP_023134223.1,pigmentation
XP_023118875.1,pigmentation
XP_023120592.1,pigmentation
XP_054873397.1,pigmentation
XP_023124776.1,pigmentation
XP_023124778.1,pigmentation
XP_023136637.1,pigmentation
XP_023139161.2,pigmentation
XP_023150714.1,pigmentation
XP_023150722.1,pigmentation
XP_054874651.1,pigmentation
XP_054874652.1,pigmentation
XP_023134626.2,pigmentation
XP_023141613.1,pigmentation
XP_023129182.1,pigmentation
XP_023146244.2,pigmentation
XP_023146245.2,pigmentation
XP_054870829.1,pigmentation
XP_054870830.1,pigmentation
XP_023118398.2,pigmentation
XP_023118399.2,pigmentation
XP_023133334.2,pigmentation
XP_035808898.2,pigmentation
XP_023153619.2,pigmentation
XP_023124728.1,pigmentation
XP_023119022.1,pigmentation
XP_023119023.1,pigmentation
XP_054867507,pigmentation
XP_054867508.1,pigmentation
XP_035796784.1,pigmentation
XP_035796785.1,pigmentation
XP_054870008.1,pigmentation
XP_054870009.1,pigmentation
XP_035801471.1,pigmentation
XP_023120281.1,pigmentation
XP_035805116.1,pigmentation
XP_023128324.1,pigmentation
XP_054865516.1,pigmentation
XP_054865519.1,pigmentation
XP_023142073.2,pigmentation
XP_035811364.2,pigmentation
XP_023130448.3,pigmentation
XP_023133530.1,pigmentation
XP_023139995.1,pigmentation
XP_035810519.1,pigmentation
XP_023150386.2,pigmentation
XP_054873614.1,pigmentation
XP_023143891.1,pigmentation
XP_023143892.1,pigmentation
XP_054868459.1,pigmentation
XP_023138984.2,pigmentation
XP_023147956.1,pigmentation
XP_054872290.1,pigmentation
XP_023139449.1,pigmentation
XP_054874327.1,pigmentation
XP_023150989.2,pigmentation
XP_023122098.1,pigmentation
XP_023122099.1,pigmentation
XP_023135259.1,pigmentation
XP_023145937.1,pigmentation
XP_023142744.1,pigmentation
XP_023127125.1,pigmentation
XP_023143949.1,pigmentation
XP_023143951.1,pigmentation
XP_035800451.2,pigmentation
XP_035800452.2,pigmentation
XP_054872295.1,pigmentation
XP_023146613.1,pigmentation
XP_023120613.1,pigmentation
XP_023121946.2,pigmentation
