gene,category
ENSDARG00000101701,ossification
ENSDARG00000101701,ossification
ENSDARG00000009020,ossification
ENSDARG00000009020,ossification
ENSDARG00000009020,ossification
ENSDARG00000042717,ossification
ENSDARG00000042717,ossification
ENSDARG00000045676,ossification
ENSDARG00000002912,ossification
ENSDARG00000113136,ossification
ENSDARG00000113136,ossification
ENSDARG00000002912,ossification
ENSDARG00000112919,ossification
ENSDARG00000112919,ossification
ENSDARG00000009196,ossification
ENSDARG00000009196,ossification
ENSDARG00000044254,ossification
ENSDARG00000109335,ossification
ENSDARG00000044254,ossification
ENSDARG00000109335,ossification
ENSDARG00000015686,ossification
ENSDARG00000025032,ossification
ENSDARG00000025032,ossification
ENSDARG00000116957,ossification
ENSDARG00000112480,ossification
ENSDARG00000025032,ossification
ENSDARG00000116957,ossification
ENSDARG00000116957,ossification
ENSDARG00000112480,ossification
ENSDARG00000112480,ossification
ENSDARG00000031848,ossification
ENSDARG00000031848,ossification
ENSDARG00000031848,ossification
ENSDARG00000031848,ossification
ENSDARG00000063230,ossification
ENSDARG00000101849,ossification
ENSDARG00000101849,ossification
ENSDARG00000035677,ossification
ENSDARG00000034895,ossification
ENSDARG00000045548,ossification
ENSDARG00000045548,ossification
ENSDARG00000114564,ossification
ENSDARG00000112744,ossification
ENSDARG00000112744,ossification
ENSDARG00000114564,ossification
ENSDARG00000070961,ossification
ENSDARG00000070961,ossification
ENSDARG00000109238,ossification
ENSDARG00000060526,ossification
ENSDARG00000058414,ossification
ENSDARG00000109719,ossification
ENSDARG00000039970,ossification
ENSDARG00000109719,ossification
ENSDARG00000039970,ossification
ENSDARG00000116775,ossification
ENSDARG00000117092,ossification
ENSDARG00000053625,ossification
ENSDARG00000116775,ossification
ENSDARG00000117092,ossification
ENSDARG00000053625,ossification
ENSDARG00000091085,ossification
ENSDARG00000091085,ossification
NA,ossification
ENSDARG00000045695,ossification
ENSDARG00000045695,ossification
ENSDARG00000102986,ossification
ENSDARG00000102986,ossification
ENSDARG00000102986,ossification
ENSDARG00000102986,ossification
ENSDARG00000003216,ossification
ENSDARG00000003216,ossification
ENSDARG00000026726,ossification
ENSDARG00000026726,ossification
ENSDARG00000099730,ossification
ENSDARG00000099730,ossification
ENSDARG00000100095,ossification
ENSDARG00000100095,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000013847,ossification
ENSDARG00000029036,ossification
ENSDARG00000029036,ossification
ENSDARG00000029036,ossification
ENSDARG00000014488,ossification
ENSDARG00000014488,ossification
